Don't Change, INXS, Shabooh Shoobah
Listen Like Thieves, INXS, Listen Like Thieves
Kiss The Dirt, INXS, Listen Like Thieves
Baby Don't Cry, INXS, Welcome to Wherever You Are
New Sensation, INXS, Kick
Never Teat Us Apart, INXS, Kick
Mystify, INXS, Kick
Elegantly Wasted, INXS, Elegantly Wasted
Suicide Blonde, INXS, X
Bitter Tears, INXS, X
Beds Are Burning, Midnight Oil, Diesel and Dust
Blue Sky Mine, Midnight Oil, Blue Sky Mining
Put Down That Weapon, Midnight Oil, Diesel and Dust
The Dead Heart, Midnight Oil, Diesel and Dust
When the War is Over, Cold Chisel, Circus Animals
Forever Now, Cold Chisel, Circus Animals
Cheap Wine, Cold Chisel, East
You Got Nothing I Want, Cold Chisel, East
The Boys Light Up, Australian Crawl, The Boys Light Up
Down Under, Men at Work, Business as Usual
Who Can it Be Now?, Men at Work, Business as Usual
April Sun in Cuba, Dragon, Running Free
Are You Old Enough?, Dragon, O Zambezi
Rain, Dragon, The Body and The Beat